name,url
AI as a Digital Companion: Exploring the Relationship Between Generative AI Dependency and Perceived Loneliness in International Students,nan
When AI Becomes a Friend: The “Emotional” and “Rational” Mechanism of Problematic Use in Generative AI Chatbot Interactions,https://www.tandfonline.com/doi/abs/10.1080/10447318.2025.2536622
Initiative Prompt by Design: the Roles of Emotional Attachment and Intrusiveness in Digital Companionship,https://aisel.aisnet.org/amcis2025/sig_hci/sig_hci/20/
Debate and dilemmas regarding generative AI in mental health care: scoping review,https://i-jmr.org/2024/1/e53672
A random human peer is better than a highly supportive chatbot in reducing loneliness over time,https://open.library.ubc.ca/soa/cIRcle/collections/ubctheses/24/items/1.0449721
Hysteria in empathy: Understanding virtual companionship and emotional connection between humans and Al,https://journals.sagepub.com/doi/abs/10.1177/09593543251319738
Designing a Generative AI Companion for Seniors,https://aisel.aisnet.org/amcis2025/intelfuture/intelfuture/8/
The algorithm of friendship: literature review and integrative model of relationships between humans and artificial intelligence (AI),https://www.tandfonline.com/doi/abs/10.1080/0144929X.2025.2502467
Assessing User Trust in LLM-based Mental Health Applications: Perceptions of Reliability and Effectiveness,https://www.suaspress.org/ojs/index.php/JCTAM/article/view/v1n2a03
"When artificial intelligence substitutes humans in higher education: the cost of loneliness, student success, and retention",https://www.tandfonline.com/doi/abs/10.1080/03075079.2024.2326956
The artificial third: utilizing ChatGPT in mental health,https://www.tandfonline.com/doi/full/10.1080/15265161.2023.2250297
AI interventions: assessing the potential for a chat GPT-based loneliness and cognitive decline intersvention in geriatric populations,nan
ChatGPT: a promising tool to combat social isolation and loneliness in older adults with mild cognitive impairment,https://www.neurologylive.com/view/chatgpt-promising-tool-combat-social-isolation-loneliness-older-adults-mild-cognitive-impairment
Generative AI and Metaverse: companionship and assisted living for elderly people,https://www.academia.edu/download/104468156/SSRN_id4489358.pdf
Befriend GenAI Chatbots: Exploring the Determinants of Parasocial Relationship in human-AI Interaction Through a Hybrid PLS-ANN-NCA Approach,https://www.tandfonline.com/doi/abs/10.1080/10447318.2025.2537794
Understanding the benefits and challenges of using large language model-based conversational agents for mental well-being support,https://pmc.ncbi.nlm.nih.gov/articles/PMC10785945/
Anthropomorphism as Social Affordance: Charting the Co-Animation of Chatbots into Social “Agents”,https://ojs.aaai.org/index.php/AIES/article/view/36664
"Investigating AI chatbot dependence: Associations with Internet and smartphone dependence, mental health outcomes, and the moderating role of usage purposes",https://www.tandfonline.com/doi/abs/10.1080/10447318.2025.2545464
Users' Attachment Styles and ChatGPT Interaction: Revealing Insights into User Experiences,nan
The role of generative AI and anthropomorphism in shaping conversational marketing: Creating a matrix for future research,https://dergipark.org.tr/en/pub/epess/issue/82112/1412832
Gen Zen? How Young People Adapt AI Chatbots for Emotional Support,https://books.google.com/books?hl=en&lr=&id=r9yZEQAAQBAJ&oi=fnd&pg=PA39&dq=(%22LLM%22+OR+%22large+language+model%22+OR+%22generative+AI%22+OR+%22ChatGPT%22+OR+%22AI+chatbot%22)+AND+(%22AI+companionship%22+OR+%22AI+companion%22+OR+%22human-AI+relationship%22+OR+%22emotional+support%22+OR+%22loneliness%22+OR+%22anthropomorphism%22+OR+%22parasocial+relationship%22+OR+%22mental+health%22+OR+%22user-driven+value+alignment%22)&ots=hJXa-5Eeto&sig=pUEsCCkNpVmPNikD00ZUkCGhfWc
… the human touch: How AI chatbots' emotional support and human-like profiles reduce psychological reactance to promote user self-disclosure in mental health …,https://www.tandfonline.com/doi/abs/10.1080/02650487.2025.2558479
Chatbots and mental health: Insights into the safety of generative AI,https://myscp.onlinelibrary.wiley.com/doi/abs/10.1002/jcpy.1393
Can ChatGPT substitute human companionship for coping with loss and trauma?,https://www.tandfonline.com/doi/abs/10.1080/15325024.2023.2240697
Assessing the effectiveness of ChatGPT in delivering mental health support: a qualitative study,https://www.tandfonline.com/doi/abs/10.2147/JMDH.S447368
"AI-powered Chatbots for Mental Health Support: Challenges, Concerns, and Research Issues",https://aisel.aisnet.org/amcis2025/sig_aiaa/sig_aiaa/15/
Cases of using ChatGPT as a mental health and psychological support tool,https://www.tandfonline.com/doi/abs/10.1080/15398285.2024.2442374
