id,category,task_name,difficulty,tags,prompt_en
1,Feed,Masonry feed with infinite scroll,Hard,masonry;infinite-scroll;IntersectionObserver;skeleton;responsive;virtualization,"Build a Xiaohongshu/Pinterest-style masonry feed page.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Render a 2-column masonry grid on >=768px and 1-column on smaller screens. Items have variable heights.
- Implement infinite scrolling using IntersectionObserver (not scroll listeners). When the sentinel is visible, fetch the next page.
- Deduplicate items across pages by id. Preserve scroll position on window resize.
- Lazy-load images with a low-quality placeholder and swap to full resolution on load.
- Show skeleton cards while fetching, and show a “Retry” inline card if a page request fails.

Data/model:
- Each item: id, coverImageUrl, title, authorName, likeCount, savedCount, tags[], createdAt.
- Mock API: GET /feed?page=1..N&tag=optional.

Accessibility & UX:
- Ensure focus never gets trapped during loading. Provide a “Skip to content” link.
- Cards are keyboard-focusable; Enter opens a detail drawer (can be stubbed) with title + stats.

Acceptance criteria:
- Infinite scroll works reliably and does not trigger duplicate fetches.
- Masonry layout visually fills vertical gaps (native CSS masonry if available; otherwise implement a reasonable fallback).
- All three states (loading/empty/error) are demonstrably reachable via mock settings."
2,Feed,Card actions with optimistic like/save,Medium,optimistic-ui;undo;toast;state-management,"Implement interactive feed cards with Like and Save actions.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Each card has Like and Save toggle buttons and displays counts.
- Use optimistic updates: toggle immediately, then reconcile with mock API response.
- If the request fails, revert state and show a toast with an “Undo” action and error message.
- Provide subtle micro-interactions (button pressed state, count transitions) without heavy animation.

Data/model:
- Mock API: POST /items/:id/like, POST /items/:id/save returning updated counts.
- Maintain per-item pending state so rapid toggles do not corrupt counts (queue or latest-wins strategy).

Accessibility & UX:
- Buttons must be reachable by keyboard and announce toggled state (aria-pressed).
- Toast region must be screen-reader friendly (aria-live polite).

Acceptance criteria:
- Rapidly toggling Like/Save does not create negative counts or inconsistent UI.
- Undo restores the previous state deterministically."
3,Feed,Scrollable tag filter bar,Medium,tabs;filtering;horizontal-scroll;sticky-header,"Build a sticky, horizontally scrollable tag filter bar for the feed.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- A sticky header contains a “For You / Following / Trending” segmented control plus a horizontal tag list.
- Tags are scrollable with mouse wheel and drag-to-scroll; include left/right fade indicators.
- Selecting a segment or tag refetches the feed (reset to page 1) and visually indicates the active filter.
- Persist the user’s last selection in localStorage and restore on reload.

Accessibility & UX:
- Segmented control follows ARIA tab/tabpanel or radiogroup conventions.
- Tag chips are keyboard navigable (Left/Right arrow optional).

Acceptance criteria:
- Filter changes reset pagination and clear previous results without flicker.
- Sticky header does not overlap content when using “Skip to content”."
4,Feed,Detail view with image carousel and double-tap like,Hard,modal;carousel;gesture;animation;state-sync,"Create an item detail experience with an image carousel and a “double-tap to like” interaction.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Clicking a card opens a modal or right-side drawer with item details and an image carousel.
- Carousel supports: previous/next buttons, swipe/drag (mouse), keyboard Left/Right, and dot indicators.
- Double-clicking the main image triggers Like (optimistic) and shows a lightweight heart animation overlay.
- Like count and Save count in the feed card must stay in sync with the detail view.

Data/model:
- Item detail includes imageUrls[] and description.
- Mock API for like/save as in Task 2.

Accessibility:
- Modal traps focus and is dismissible via Esc; returns focus to the originating card on close.
- Carousel buttons have accessible labels; current slide announced via aria-live or aria-current patterns.

Acceptance criteria:
- Double-click toggles Like only once per gesture, even if the image is still loading.
- State changes are consistent between feed and detail view."
5,Feed,Following list with search + async toggle,Medium,list;search;debounce;loading-states,"Build a “Following” management page with search and follow/unfollow toggles.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Render a paginated list of users you may follow. Each row shows avatar, name, bio, and a Follow toggle button.
- Provide a search input that filters by name with 300ms debounce and cancels in-flight requests.
- Follow/unfollow is async with a per-row loading indicator and disables only that row’s button.
- Implement infinite scrolling or “Load more” with deduplication.

Mock API:
- GET /users?query=&page=
- POST /users/:id/follow, POST /users/:id/unfollow

Acceptance criteria:
- Search results update without “jumping” the scroll unexpectedly.
- Following state remains stable across pagination and refresh."
6,Feed,Create post modal with multi-image upload + reorder,Hard,forms;file-upload;drag-sort;validation;draft,"Implement a “Create Post” modal with multi-image upload and drag-and-drop reordering.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Modal form fields: Title (required, max 60), Body (max 2,000), Tags (multi-select), Images (1–9).
- Users can add images via file picker or drag-and-drop; show previews and per-file remove buttons.
- Allow drag-to-reorder image thumbnails (use dnd-kit or equivalent). The first image is the cover.
- On submit, call mock API to “publish”; on success, insert the new post at the top of the feed (optimistic is acceptable).

Draft behavior:
- Auto-save draft (including selected images metadata) with 500ms debounce into localStorage.
- If user closes modal with unsaved changes, confirm “Save draft / Discard / Cancel”.

Acceptance criteria:
- Reordering updates the cover preview deterministically.
- Validation errors are shown inline and summarized at top for accessibility."
7,Feed,Responsive card typography + layout stability,Easy,responsive;text-truncation;layout-shift,"Improve feed card rendering for readability and layout stability.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Titles clamp to 2 lines on desktop and 1 line on mobile; provide a tooltip or full title in the detail view.
- Prevent excessive layout shift while images load (use fixed aspect ratio boxes or placeholders).
- Provide author + createdAt formatting; relative time is acceptable.

Acceptance criteria:
- Lighthouse CLS is minimized on the feed page under typical scrolling.
- Cards remain aligned and do not “jump” when images finish loading."
8,Feed,Immersive mode with auto-hiding navigation,Medium,scroll-behavior;sticky;navigation;state,"Add an “Immersive Mode” toggle that hides navigation chrome while the user scrolls.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- When immersive mode is enabled: hide the top header and bottom tab bar on scroll down; reveal on scroll up.
- Use a scroll direction detector that is resilient (debounced/throttled), and does not cause jitter.
- Ensure interactive controls remain reachable (provide a floating “Exit immersive mode” button when hidden).

Accessibility:
- Mode toggle must be keyboard accessible and persisted in localStorage.
- Hidden nav should not be focusable when visually hidden.

Acceptance criteria:
- Header/tab bar transitions are smooth and do not interfere with infinite scroll sentinel logic."
9,Feed,Recommended section with virtualized list,Hard,virtual-list;performance;pagination;recommendations,"Implement a “Recommended for you” section with virtualization.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Below the main feed, render a horizontally scrollable recommended list of cards (e.g., 30–200 items).
- Use list virtualization to keep DOM node count bounded.
- Recommended list supports keyboard navigation and a “View all” route that shows a paginated grid.

Mock API:
- GET /recommendations?seed=&page=

Acceptance criteria:
- Scrolling remains smooth with 200+ items and images.
- Virtualization does not break keyboard focus order."
10,Feed,Collections management with groups + drag move,Hard,collections;drag-drop;batch-actions;local-state,"Build a “Saved Collections” page with group management and drag-to-move items.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Left panel: collection groups (create/rename/delete). Right panel: items in the selected group.
- Drag an item card and drop it onto a different group to move it; show a confirmation toast.
- Provide multi-select mode for batch remove/move actions.
- Keep UI responsive with optimistic updates; reconcile with mock API.

Mock API:
- GET /collections, GET /collections/:id/items
- POST /collections/:id/move-items, POST /collections/:id/remove-items

Acceptance criteria:
- Dragging provides clear droppable affordance; moving items updates counts in group list.
- Batch actions are disabled when nothing is selected."
11,Feed,Topic page with subscribe + sort,Medium,tabs;sorting;subscription;state-sync,"Create a Topic page that combines metadata, subscription, and a sortable feed.

Tech stack: React 18 + TypeScript. Styling: Tailwind CSS + shadcn/ui components. No backend—use an in-memory mock API module (Promise-based, with randomized latency and occasional failures). Requirements apply to all tasks unless explicitly overridden: responsive layout, loading/empty/error states, keyboard accessibility, and sensible ARIA semantics.

Functional requirements:
- Topic header: title, description, follower count, and Subscribe toggle (async).
- Content area: feed filtered to this topic, with sort options: Latest / Hottest.
- Sort changes update URL query parameters and are shareable.
- Include a “Pinned posts” section that appears above the feed when available.

Acceptance criteria:
- Subscription state is consistent across topic page and global “Following” section.
- URL reflects topic + sort for deep-linking."
