title,abstract,url,year,search_origin,predicted_cluster,predicted_label,confidence_score
Beyond Anthropomorphism: Social Presence in Human–AI Collaboration Processes,"Our study contributes to the understanding of human–AI collaboration in social presence  research, highlighting the importance of considering social and interpersonal processes in",https://onlinelibrary.wiley.com/doi/abs/10.1111/joms.70000,2025,0,0,Cluster 0: Human-AI Collaboration,0.6615
"Human or machine? Exploring how anthropomorphism, performance and social intelligence impact trust in human-AI teams","This thesis investigates how anthropomorphism, AI system performance, and social   Chapter 3 explores the impact of anthropomorphism and AI system reliability on trust and",https://theses.gla.ac.uk/id/eprint/85469,2025,0,0,Cluster 0: Human-AI Collaboration,0.6197
FROM ASSISTANTS TO COMPANIONS: TOWARDS THE USEFULNESS OF IMPROVING THEORY OF MIND FOR,the existing benchmarks for Large Language Models (LLMs)  for measuring readiness for  Human-AI collaboration. (ii) A  to generalize from assistance to companionship. Our findings,https://openreview.net/forum?id=77VCQs9VSU,NA,0,0,Cluster 0: Human-AI Collaboration,0.5908
Persuasion with large language models: a survey,The rapid rise of Large Language Models (LLMs) has  research field of LLM-based persuasion  that has emerged as a  potential of LLM-based persuasion poses profound ethical and,https://arxiv.org/abs/2411.06837,2024,1,1,Cluster 1: Psychology & Persuasion,0.6308
Using Large Language Models in the Experimental Analysis of Persuasion and Bias,"Thus, in a sense the participant for Experiment 1 was the LLM ChatGPT, and the methods  used to compare the monologues produced by ChatGPT to their human counterparts are",https://search.proquest.com/openview/282d45d117b2d0c14eb7aed0f66da95d/1?pq-origsite=gscholar&cbl=18750&diss=y,2024,1,1,Cluster 1: Psychology & Persuasion,0.6739
Mind What You Ask For: Emotional and Rational Faces of Persuasion by Large Language Models,"This paper focuses on computer-mediated persuasion, specifically persuasion that occurs  when a person interacts with a system known as a Large Language Model (LLM). LLMs are",https://arxiv.org/abs/2502.09687,2025,1,1,Cluster 1: Psychology & Persuasion,0.7047
Generative AI and Creativity: A Systematic Literature Review and Meta-Analysis,"perceived creativity, originality, or novelty creativity is often perceived as a combination of  novelty and effectiveness, originality refers to how uncommon or unique an idea is, and novelty",https://arxiv.org/abs/2505.17241,2025,2,2,Cluster 2: Creativity & Ideation,0.7554
Divergent creativity in humans and large language models,"creativity science in order to quantify creativity  creativity, encompassing convergent and  divergent thinking, as well as variation-selection paradigms (2, 8, 11, 14–16). Divergent thinking,",https://arxiv.org/abs/2405.13012,2024,2,2,Cluster 2: Creativity & Ideation,0.7367
Using large language models for idea generation in innovation,We propose that the domain of creativity and innovation provides such an  idea novelty in  the same way we measure idea quality – by directly asking potential customers for its novelty,https://rotmandigital.ca/wp-content/uploads/2024/11/Using-Large-Language-Models-for-Idea-Generation-in-Innovation.pdf,2024,2,2,Cluster 2: Creativity & Ideation,0.7129
The impact of large language models on programming education and student learning outcomes,These research questions and hypotheses steered our exploration into how ChatGPT and  similar LLMs impact programming education. Our goal is to provide detailed insights to help,https://www.mdpi.com/2076-3417/14/10/4115,2024,3,3,Cluster 3: Education & Productivity,0.5556
Benefits and drawbacks of leveraging ChatGPT to enhance writing skills in secondary education,"ChatGPT, particularly in the context of language learning, focusing on enhancing high school  writing skills. The  To better understand the implications of using ChatGPT in education, this",http://at-tadzkir.pdtii.org/index.php/tadzkir/article/view/79,2025,3,3,Cluster 3: Education & Productivity,0.6302
"Chatgpt in ESL higher education: Enhancing writing, engagement, and learning outcomes",This narrative review explored the impact of ChatGPT on ESL in higher education within the   ChatGPT enhances learning outcomes in ESL by helping students improve their writing skills,https://www.mdpi.com/2078-2489/16/4/316,2025,3,3,Cluster 3: Education & Productivity,0.6389
