title,url_gs,year_gs,venue_gs,author_gs,source
Customizing emotional support: How do individuals construct and interact with LLM-powered chatbots,https://dl.acm.org/doi/abs/10.1145/3706598.3713453,2025.0,Proceedings of the 2025 CHI Conference …,"['X Zheng', 'Z Li', 'X Gui', 'Y Luo']",google_scholar
"Can generative artificial intelligence foster belongingness, social support, and reduce loneliness? A conceptual analysis",https://link.springer.com/chapter/10.1007/978-3-031-46238-2_13,2024.0,Applications of generative AI,"['B Pani', 'J Crawford', 'KA Allen']",google_scholar
The Heterogeneous Effects of AI Companionship: An Empirical Model of Chatbot Usage and Loneliness and a Typology of User Archetypes,https://ojs.aaai.org/index.php/AIES/article/view/36658,2025.0,… of the AAAI/ACM Conference on AI …,"['AR Liu', 'P Pataranutaporn', 'P Maes']",google_scholar
Characterizing Relationships with Companion and Assistant Large Language Models,https://dl.acm.org/doi/abs/10.1145/3715070.3749245,2025.0,Companion Publication of the 2025 …,"['A Manoli', 'JVT Pauketat', 'JR Anthis']",google_scholar
Can generative AI chatbots emulate human connection? A relationship science perspective,https://journals.sagepub.com/doi/abs/10.1177/17456916251351306,2025.0,… on Psychological Science,"['MG Smith', 'TN Bradbury']",google_scholar
AI companions reduce loneliness,https://academic.oup.com/jcr/advance-article-abstract/doi/10.1093/jcr/ucaf040/8173802,2025.0,Journal of Consumer …,"['J De Freitas', 'Z Oğuz-Uğuralp']",google_scholar
"Should We Trust AI to Cure Loneliness?: Ethical, Psychological, and Sociotechnical Perspectives",https://www.diva-portal.org/smash/record.jsf?pid=diva2:1976255,2025.0,,['D Jämting'],google_scholar
"From Assistants to Digital Beings: Exploring Anthropomorphism, Humanness Perception, and AI Anxiety in Large-Language-Model Chatbots",https://journals.sagepub.com/doi/abs/10.1177/08944393251354976,2025.0,Social Science Computer Review,"['X Yao', 'Y Xi']",google_scholar
Randomized trial of a generative AI chatbot for mental health treatment,https://ai.nejm.org/doi/abs/10.1056/AIoa2400802,2025.0,Nejm Ai,"['MV Heinz', 'DM Mackin', 'BM Trudeau', 'S Bhattacharya']",google_scholar
When AI Becomes a Friend: The “Emotional” and “Rational” Mechanism of Problematic Use in Generative AI Chatbot Interactions,https://www.tandfonline.com/doi/abs/10.1080/10447318.2025.2536622,2025.0,International Journal of Human–Computer …,"['H Huang', 'L Shi', 'X Pei']",google_scholar
